pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,815.0857249122602
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,819.8182293736894
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,830.0005522623518
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,831.4831453132358
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,825.993906098407
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,816.6813914520417
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,815.1055866765585
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,815.2123995393385
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,819.9435437680261
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,830.1244472938681
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,831.6054907130883
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,826.1148415548454
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,816.8009332136577
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,815.22375080469
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,815.3292019102286
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,820.0590919145078
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,830.2386866941043
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,831.7183012506036
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,826.039583080296
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,816.7264953653842
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,815.1483994975272
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,815.2525714195194
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,819.9802360130889
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,830.1563232116467
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,831.6342860924505
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,826.1423798605678
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,816.8281074861302
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,815.2488406111033
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,815.3518550209473
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,820.0784535067378
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,830.2534282532141
